1Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-11-17,Million Dollar Arm,2014,https://boxd.it/S7UFz,3,,,2019-11-17
2019-11-19,Captain Fantastic,2016,https://boxd.it/SeY05,5,Yes,,2019-11-18
2019-11-24,The Accountant,2016,https://boxd.it/StYl3,3,,,2019-11-22
2019-11-30,Burlesque,2010,https://boxd.it/SUonB,3.5,,,2019-11-30
2019-12-09,Marriage Story,2019,https://boxd.it/TvsBV,2,,,2019-12-08
2019-12-09,Parasite,2019,https://boxd.it/TvqhJ,5,,,2019-12-09
2019-12-10,Coming to America,1988,https://boxd.it/Tz5eR,4,,,2019-12-09
2019-12-10,Eat Pray Love,2010,https://boxd.it/Tz5gD,3,,,2019-12-09
2019-12-11,How to Be Single,2016,https://boxd.it/TAPB5,3.5,,,2019-12-10
2019-12-11,Invisible Life,2019,https://boxd.it/TD0D1,4.5,,,2019-12-10
2019-12-17,Hustlers,2019,https://boxd.it/U0WVj,3.5,,,2019-12-16
2019-12-26,Sweet Home Alabama,2002,https://boxd.it/UIkgF,4,,,2019-12-26
2019-12-29,Knives Out,2019,https://boxd.it/UYDj1,4,,,2019-12-28
2020-01-08,The Lighthouse,2019,https://boxd.it/W0Na7,4,,,2020-01-07
2020-01-19,Parasite,2019,https://boxd.it/X27kx,5,Yes,,2020-01-16
2020-01-19,Gloria and Grace,2017,https://boxd.it/X27tJ,3.5,,,2020-01-18
2020-01-23,Scarface,1983,https://boxd.it/XqeNT,3.5,,,2020-01-21
2020-01-29,Spectre,2015,https://boxd.it/XWj07,2.5,Yes,,2020-01-26
2020-01-29,The Blind Side,2009,https://boxd.it/XWj6T,4,,,2020-01-26
2020-01-29,The Book of Henry,2017,https://boxd.it/XXwGR,3,,,2020-01-29
2020-01-30,The Lake House,2006,https://boxd.it/Y2hIX,2.5,,,2020-01-29
2020-02-02,La La Land,2016,https://boxd.it/Yijq9,4.5,Yes,,2020-02-01
2020-02-02,How to Lose a Guy in 10 Days,2003,https://boxd.it/Yjhfb,3.5,,,2020-02-02
2020-02-16,Music and Lyrics,2007,https://boxd.it/ZriaV,2.5,,,2020-02-14
2020-02-21,The Man from the Future,2011,https://boxd.it/100qJT,3.5,Yes,,2020-02-21
2020-02-29,The Devil Wears Prada,2006,https://boxd.it/10Aj21,4,Yes,,2020-02-28
2020-03-01,All the Bright Places,2020,https://boxd.it/10EQK9,3,,,2020-02-28
2020-03-02,Frances Ha,2012,https://boxd.it/10Krtp,3,,,2020-02-29
2020-03-04,Just Like Heaven,2005,https://boxd.it/10X8rZ,3,,,2020-03-03
2020-03-14,The Imitation Game,2014,https://boxd.it/11Gv3r,3.5,Yes,,2020-03-12
2020-03-16,21,2008,https://boxd.it/11THOv,3,Yes,,2020-03-15
2020-03-27,Skyfall,2012,https://boxd.it/132Fpb,4.5,Yes,,2020-03-22
2020-03-23,Central Station,1998,https://boxd.it/12D0oL,4.5,,,2020-03-23
2020-03-24,Coco,2017,https://boxd.it/12Hd69,5,,,2020-03-24
2020-03-25,Kill Bill: Vol. 1,2003,https://boxd.it/12Pscd,4,,,2020-03-25
2020-03-26,The Wave,2008,https://boxd.it/12WcGl,4,Yes,,2020-03-26
2020-03-27,The Fast and the Furious,2001,https://boxd.it/132Fab,3.5,,,2020-03-27
2020-03-28,Sister Act,1992,https://boxd.it/134GK9,3,,,2020-03-27
2020-03-28,The Perks of Being a Wallflower,2012,https://boxd.it/135gZz,3.5,,,2020-03-27
2020-03-30,The Second Mother,2015,https://boxd.it/13qa8V,4,,,2020-03-29
2020-03-31,"Monsters, Inc.",2001,https://boxd.it/13xTnZ,5,Yes,,2020-03-30
2020-04-05,Kill Bill: Vol. 2,2004,https://boxd.it/146EYV,4.5,,,2020-04-04
2020-04-06,"The Adventures of Priscilla, Queen of the Desert",1994,https://boxd.it/14hL6X,3.5,,,2020-04-06
2020-04-08,The 40 Year Old Virgin,2005,https://boxd.it/14wko1,3.5,,,2020-04-08
2020-04-10,Men in Black 3,2012,https://boxd.it/14KaKf,3.5,Yes,,2020-04-10
2020-04-18,Knowing,2009,https://boxd.it/15NPN5,2,Yes,,2020-04-17
2020-04-18,Harry Potter and the Goblet of Fire,2005,https://boxd.it/15NOuV,4,Yes,,2020-04-18
2020-04-19,Ó Paí Ó: Look at This,2007,https://boxd.it/15Wi2X,4,Yes,,2020-04-19
2020-04-20,Matilda,1996,https://boxd.it/165cgd,2.5,Yes,,2020-04-19
2020-04-20,Hotel Transylvania 2,2015,https://boxd.it/165ckz,3,,,2020-04-19
2020-04-20,Deep Blue Sea 2,2018,https://boxd.it/165cHj,2,,,2020-04-19
2020-04-20,Catch Me If You Can,2002,https://boxd.it/165cUx,5,Yes,,2020-04-20
2020-04-21,The Walk,2015,https://boxd.it/168LvN,3.5,,,2020-04-20
2020-04-24,The Darkest Minds,2018,https://boxd.it/16vteP,2,,,2020-04-23
2020-04-24,The Devil Wears Prada,2006,https://boxd.it/16x3yX,4,Yes,,2020-04-23
2020-05-01,Chernobyl,2019,https://boxd.it/17o4vh,4.5,,,2020-04-24
2020-04-27,mother!,2017,https://boxd.it/16Vs4B,3.5,,,2020-04-26
2020-05-02,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/17w2RV,4,Yes,,2020-05-01
2020-05-02,Escape Room,2019,https://boxd.it/17w2Xf,2.5,,,2020-05-01
2020-05-04,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/17K6Wj,4,Yes,,2020-05-02
2020-05-04,Downsizing,2017,https://boxd.it/17K74R,1.5,,,2020-05-02
2020-05-04,Isle of Dogs,2018,https://boxd.it/17K79R,4.5,,,2020-05-03
2020-05-04,Hidden Figures,2016,https://boxd.it/17MDLd,4,Yes,,2020-05-03
2020-05-04,The Twilight Saga: Eclipse,2010,https://boxd.it/17MDUz,2,Yes,,2020-05-03
2020-05-04,Yesterday,2019,https://boxd.it/17NnT3,2,,,2020-05-03
2020-05-04,The Twilight Saga: Breaking Dawn - Part 2,2012,https://boxd.it/17Oag5,3,Yes,,2020-05-03
2020-05-09,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/18nTt9,4,Yes,,2020-05-06
2020-05-10,Big Little Lies,2017,https://boxd.it/18uE1t,4.5,Yes,,2020-05-09
2020-05-11,Mamma Mia!,2008,https://boxd.it/18EuLV,3.5,Yes,,2020-05-10
2020-05-11,Mamma Mia! Here We Go Again,2018,https://boxd.it/18EuXR,2.5,Yes,,2020-05-11
2020-05-15,The Circle,2017,https://boxd.it/195Duj,2,,,2020-05-15
2020-05-22,Do the Right Thing,1989,https://boxd.it/19TfZn,4,,,2020-05-21
2020-05-23,Legally Blonde,2001,https://boxd.it/19VEBJ,3.5,,,2020-05-22
2020-05-24,Lost in Translation,2003,https://boxd.it/1a7foJ,3.5,,,2020-05-23
2020-05-24,Miss Congeniality,2000,https://boxd.it/1a8hsb,3,,,2020-05-23
2020-05-25,Divergent,2014,https://boxd.it/1ac5DJ,3,Yes,,2020-05-23
2020-05-25,Vantage Point,2008,https://boxd.it/1ahAdH,,Yes,,2020-05-24
2020-05-27,2001: A Space Odyssey,1968,https://boxd.it/1avv81,5,,,2020-05-27
2020-05-29,In the Heat of the Night,1967,https://boxd.it/1aI6Qj,4.5,,,2020-05-28
2020-06-04,Blow-Up,1966,https://boxd.it/1bkx1j,2.5,,,2020-05-30
2020-06-01,Sunset Boulevard,1950,https://boxd.it/1b2nQv,5,,,2020-05-31
2020-06-06,The Illusionist,2006,https://boxd.it/1bwssj,3,,,2020-06-05
2020-06-07,Cast Away,2000,https://boxd.it/1bBkXN,3.5,,,2020-06-06
2020-06-08,Contagion,2011,https://boxd.it/1bJ9CF,3.5,,,2020-06-07
2020-06-08,Kidnap,2017,https://boxd.it/1bKpVb,2.5,,,2020-06-07
2020-06-08,Taken,2008,https://boxd.it/1bKq0P,3,,,2020-06-07
2020-06-10,While You Were Sleeping,1995,https://boxd.it/1c0epb,3.5,,,2020-06-09
2020-06-12,Speed,1994,https://boxd.it/1cbU0z,3.5,,,2020-06-11
2020-06-13,Aquarius,2016,https://boxd.it/1chLsr,4.5,,,2020-06-12
2020-06-14,2012,2009,https://boxd.it/1cpmlL,3,Yes,,2020-06-13
2020-06-14,It Chapter Two,2019,https://boxd.it/1cpmrT,3,Yes,,2020-06-13
2020-06-15,Doctor Strange,2016,https://boxd.it/1cqRGn,3,Yes,,2020-06-13
2020-06-15,Psycho,1960,https://boxd.it/1cqRNj,4.5,,,2020-06-13
2020-06-15,Ford v Ferrari,2019,https://boxd.it/1cvAsN,4,,,2020-06-14
2020-06-16,Kingsman: The Golden Circle,2017,https://boxd.it/1czKE3,3,,,2020-06-14
2020-06-16,Molly's Game,2017,https://boxd.it/1cDppT,3.5,,,2020-06-15
2020-06-23,The Holiday,2006,https://boxd.it/1dkA1z,4,,,2020-06-23
2020-06-27,Skyfall,2012,https://boxd.it/1dDIuR,4.5,Yes,,2020-06-25
2020-06-27,The Devil Wears Prada,2006,https://boxd.it/1dDIAZ,4,Yes,,2020-06-25
2020-06-27,Click,2006,https://boxd.it/1dDIFv,3,Yes,,2020-06-25
